,Language,Meaning,Phonological Form,cc,ASJP
102,Swedish,say,ˈsɛ̀jːa,say:B,sEya
107,Danish,say,si:,say:B,si
114,English,say,seɪ,say:B,sei
116,Dutch,say,'zɛɣə(n),say:B,zEx3n
122,German,say,'za:gn̩,say:B,zagn
129,Catalan,say,di,say:F,di
130,Portuguese,say,diˈzeɾ,say:F,dizer
131,Spanish,say,de'θiɾ,say:F,de8ir
137,French,say,diʀ,say:F,dir
143,Italian,say,'dire,say:F,dire
145,Romanian,say,a ziˈtʃe,say:F,azitSe
154,Breton,say,laˈvaːred,say:G,lavared
13,Greek,three,ˈtriˌa,three:A,tria
40,Nepali,three,tin,three:A,tin
48,Hindi,three,t̪in,three:A,tin
60,Bulgarian,three,tri,three:A,tri
62,Russian,three,trʲi,three:A,tri
63,Polish,three,t-ʂɘ̟,three:A,tS3
65,Ukrainian,three,trɪ,three:A,tri
67,Czech,three,tr̝̊ɪ,three:A,tri
75,Icelandic,three,θriːr,three:A,8rir
80,Swedish,three,treː,three:A,tre
84,Danish,three,d̥ʰʁɛˀ,three:A,dGE
89,English,three,θri:,three:A,8ri
91,Dutch,three,dri,three:A,dri
96,German,three,draĭ,three:A,drai
104,Catalan,three,trɛs,three:A,trEs
105,Portuguese,three,tɾeʃ,three:A,treS
106,Spanish,three,tɾes,three:A,tres
112,French,three,tʀwa,three:A,trwa
117,Italian,three,tre,three:A,tre
118,Romanian,three,trej,three:A,trey
126,Irish,three,tʲɾʲiː,three:A,tri
14,Greek,sleep,ciˈmame̞,sleep:G,Timame
71,Bulgarian,sleep,spʲɤ,sleep:C,spo
73,Russian,sleep,spatʲ,sleep:C,spat
74,Polish,sleep,spatɕ,sleep:C,spatS
76,Ukrainian,sleep,ˈspatɪ,sleep:C,spati
78,Czech,sleep,spaːt,sleep:C,spat
87,Icelandic,sleep,ˈsɔːva,sleep:C,sova
92,Swedish,sleep,ˈsò:va,sleep:C,sova
96,Danish,sleep,ˈsɒwə,sleep:C,sow3
101,English,sleep,sli:p,sleep:C,slip
103,Dutch,sleep,'slapə(n),sleep:C,slap3n
108,German,sleep,ʃla:fn̩,sleep:C,Slafn
115,Catalan,sleep,duɾ'mi,sleep:E,durmi
116,Portuguese,sleep,duɾˈmiɾ,sleep:E,durmir
117,Spanish,sleep,doɾ'miɾ,sleep:E,dormir
123,French,sleep,doʀmiʀ,sleep:E,dormir
129,Italian,sleep,dor'mire,sleep:E,dormire
130,Romanian,sleep,a dorˈmi,sleep:E,adormi
12,Greek,bone,ˈko̞kaˌlo̞,bone:H,kokalo
47,Hindi,bone,ɦəɖːiː,bone:A,h3di
58,Bulgarian,bone,kɔst,bone:F,kost
60,Russian,bone,kɔstʲ,bone:F,kost
61,Polish,bone,kɔɕtɕ,bone:F,koStS
63,Ukrainian,bone,kistka,bone:F,kistka
65,Czech,bone,kɔst,bone:F,kost
73,Icelandic,bone,b̥eiːn,bone:B,bein
79,Swedish,bone,beːn,bone:B,ben
83,Danish,bone,b̥eˀn,bone:B,ben
88,English,bone,bəʊn,bone:B,b3un
90,Dutch,bone,ɣrat,bone:B,xrat
91,Dutch,bone,bɔt,bone:L,bot
92,Dutch,bone,ben,bone:B,ben
98,German,bone,'knɔxn̩,bone:G,knoxn
103,Catalan,bone,ɔs,bone:D,os
104,Portuguese,bone,ˈosu,bone:D,osu
105,Spanish,bone,'weso,bone:D,weso
111,French,bone,ɔs,bone:D,os
117,Italian,bone,'ɔsso,bone:D,osso
118,Romanian,bone,os,bone:D,os
123,Breton,bone,ˈaskɔrn,bone:D,askorn
9,Greek,snow,ˈço̞ni,snow:D,Soni
52,Bulgarian,snow,snʲaɡ,snow:B,snag
54,Russian,snow,snʲɛg,snow:B,snEg
55,Polish,snow,ɕɲɛɡ,snow:B,SNEg
57,Ukrainian,snow,sniɦ,snow:B,snih
59,Czech,snow,sɲiːɦ,snow:B,sNih
65,Lithuanian,snow,sʲnʲjæɡɐs,snow:B,snyEgas
67,Icelandic,snow,stnjouːr,snow:B,stnyour
73,Swedish,snow,snøː,snow:B,sne
77,Danish,snow,sneˀ,snow:B,sne
81,English,snow,snəʊ,snow:B,sn3u
83,Dutch,snow,snew,snow:B,snew
88,German,snow,ʃne:,snow:B,Sne
94,Catalan,snow,new,snow:B,new
95,Portuguese,snow,ˈnɛvɨ,snow:B,nEv3
96,Spanish,snow,'njeβe,snow:B,nyebe
102,French,snow,nɛʒ,snow:B,nEZ
108,Italian,snow,'neve,snow:B,neve
109,Romanian,snow,zəˈpadə,snow:C,z3pad3
116,Irish,snow,ˈʃnʲãxt̪ˠə,snow:B,Snaxt3
11,Greek,old,paˈʎo̞s,old:K,palos
50,Hindi,old,pʊrana,old:A,purana
67,Bulgarian,old,star,old:I,star
69,Russian,old,'starɨj,old:I,star3y
70,Polish,old,ˈstarɘ̟,old:I,star3
72,Ukrainian,old,staˈrɪj,old:I,stariy
74,Czech,old,ˈstariː,old:I,stari
80,Lithuanian,old,ˈsʲæ:nɐs,old:D,sEnas
83,Icelandic,old,ˈɡ̊aːmad̥l,old:J,gamadl
84,Icelandic,old,fɔrd̥n,old:A,fordn
92,Swedish,old,ˈgàmːal,old:J,gamal
96,Danish,old,ˈfɒːnə,old:A,fon3
97,Danish,old,ˈg̥ɑməl,old:J,gom3l
104,English,old,əʊld,old:B,3uld
106,Dutch,old,ɑut,old:B,out
112,German,old,alt,old:B,alt
119,Catalan,old,bɛʎ,old:G,bEl
121,Portuguese,old,ˈvɛʎu,old:G,vElu
122,Spanish,old,'bjexo,old:G,byexo
128,French,old,vjø,old:G,vye
134,Italian,old,'vekkjo,old:G,vekkyo
144,Breton,old,ˈkoːs,old:H,kos
147,Irish,old,ʃan,old:D,San
13,Greek,warm,ze̞ˈsto̞s,warm:F,zestos
48,Bengali,warm,"ɡɔɾɔm, ɡɔɽɔm",warm:B,goromgorom
66,Bulgarian,warm,ˈtɔpəɫ,warm:D,top3L
68,Russian,warm,'tʲɔpɫɨj,warm:D,topL3y
69,Polish,warm,ˈtɕɛpwɘ̟,warm:D,tSEpw3
71,Ukrainian,warm,ˈtɛpɫɪj,warm:D,tEpLiy
73,Czech,warm,ˈtɛpliː,warm:D,tEpli
80,Lithuanian,warm,ˈʃʲɪltɐs,warm:E,Siltas
84,Icelandic,warm,ˈvarmʏr,warm:B,varmir
85,Icelandic,warm,l̥iːr,warm:E,lir
86,Icelandic,warm,ˈheiːtʰʏr,warm:H,heitir
95,Swedish,warm,varm,warm:B,varm
99,Danish,warm,vɑˀm,warm:B,vom
104,English,warm,wɔ:m,warm:B,wom
106,Dutch,warm,wɑrm,warm:B,worm
111,German,warm,varm,warm:B,varm
118,Catalan,warm,kə'len,warm:E,k3len
119,Portuguese,warm,kẽˈtɨ,warm:C,ket3
120,Spanish,warm,'kaliðo,warm:E,kali8o
126,French,warm,ʃo,warm:E,So
134,Italian,warm,'kaldo,warm:E,kaldo
16,Greek,I,e̞ˈɣo̞,I:A,exo
50,Bengali,I,'ɑmi:,I:A,omi
56,Hindi,I,mɛ̃,I:A,mE
69,Bulgarian,I,as,I:A,as
71,Russian,I,ja,I:A,ya
72,Polish,I,ja,I:A,ya
74,Ukrainian,I,ja,I:A,ya
76,Czech,I,jaː,I:A,ya
82,Lithuanian,I,ɐʃ,I:A,aS
84,Icelandic,I,jɛɣ,I:A,yEx
89,Swedish,I,"jɑːɡ, jɑː",I:A,yogyo
93,Danish,I,jɑj,I:A,yoy
98,English,I,aɪ,I:A,ai
100,Dutch,I,ɪk,I:A,ik
106,German,I,ɪç,I:A,iS
114,Catalan,I,"ʒɔ, jɔ",I:A,Zoyo
115,Portuguese,I,eu,I:A,eu
116,Spanish,I,ʝo,I:A,So
122,French,I,ʒə,I:A,Z3
128,Italian,I,'io,I:A,io
129,Romanian,I,"jew, jo",I:A,yewyo
137,Breton,I,ˈmeː,I:D,me
139,Welsh,I,"miː, viː",I:D,mivi
140,Irish,I,mʲeː,I:D,me
15,Greek,water,ne̞ˈro̞,water:G,nero
51,Bengali,water,'pɑːni:,water:A,poni
52,Bengali,water,"dʒɔl, dzɔl, zɔl",water:I,dZoldzolzol
57,Hindi,water,pa:ni:,water:D,pani
69,Bulgarian,water,vu'da,water:B,vuda
71,Russian,water,vɔ'da,water:B,voda
72,Polish,water,ˈvɔda,water:B,voda
74,Ukrainian,water,ʋɔˈda,water:B,woda
76,Czech,water,ˈvɔda,water:B,voda
83,Lithuanian,water,ʋɐnˈdʊɔ,water:B,wanduo
85,Icelandic,water,vaʰtn̥,water:B,vatn
90,Swedish,water,ˈvatːən,water:B,vat3n
94,Danish,water,vanˀ,water:B,van
99,English,water,'wɔ:tə,water:B,wot3
101,Dutch,water,'watər,water:B,wat3r
106,German,water,'vasɐ,water:B,vasa
114,Catalan,water,"'ajɣwə, 'ajɣwa",water:E,ayxw3ayxwa
115,Portuguese,water,ˈaɡwɐ,water:E,agwa
116,Spanish,water,'aɣwa,water:E,axwa
122,French,water,o,water:E,o
128,Italian,water,'akkwa,water:E,akkwa
129,Romanian,water,ˈapə,water:E,ap3
141,Welsh,water,duːr,water:F,dur
142,Irish,water,ˈiʃkʲə,water:B,iSk3
13,Greek,husband,ˈandras,husband:I,andras
14,Greek,husband,ˈsiziˌɣo̞s,husband:Av,sizixos
74,Bulgarian,husband,mɤʒ,husband:B,moZ
76,Russian,husband,muʐ,husband:B,muZ
77,Polish,husband,mɔɰ̃ʐ,husband:B,mowZ
79,Ukrainian,husband,tʂɔɫɔˈvik,husband:As,tSoLovik
82,Czech,husband,muʒ,husband:B,muZ
83,Czech,husband,ˈmanʒɛl,husband:At,manZEl
89,Lithuanian,husband,ˈʋʲi:rɐs,husband:J,wiras
93,Icelandic,husband,ˈeiːjɪn.maːðʏr,husband:B,eiyinma8ir
94,Icelandic,husband,"ˈb̥ound̥ɪ, huːsb̥ound̥ɪ",husband:H/O,boundihusboundi
104,Swedish,husband,ˈmɑ̀ːkə,husband:Ae,mok3
106,Swedish,husband,ˈɛ̀ktaˌmanː,husband:V,Ektaman
107,Swedish,husband,manː,husband:B,man
112,Danish,husband,manˀ,husband:B,man
119,English,husband,hʌzbənd,husband:H/O,hozb3nd
121,Dutch,husband,'ɛχtχənot,husband:V,EGtG3not
122,Dutch,husband,mɑn,husband:B,mon
129,German,husband,'e:əman,husband:B/V,e3man
136,Catalan,husband,məˈɾit,husband:E,m3rit
137,Catalan,husband,əs'pɔs,husband:S,3spos
138,Catalan,husband,ˈɔmə,husband:T,om3
139,Portuguese,husband,ɨʃˈpozu,husband:S,3Spozu
140,Portuguese,husband,mɐˈɾiðu,husband:E,mari8u
141,Spanish,husband,es'poso,husband:S,esposo
142,Spanish,husband,ma'ɾiðo,husband:E,mari8o
148,French,husband,maʀi,husband:E,mari
157,Italian,husband,ma'rito,husband:E,marito
158,Italian,husband,'spozo,husband:S,spozo
169,Breton,husband,ˈoːzax,husband:P,ozax
170,Welsh,husband,gu:r,husband:J,gur
171,Irish,husband,fʲaɾˠ,husband:J,far
13,Greek,what,ti,what:A,ti
40,Nepali,what,ke,what:A,ke
49,Hindi,what,kjaː,what:A,kya
63,Bulgarian,what,kəˈkvɔ,what:A,k3kvo
65,Russian,what,ʂtɔ,what:A,Sto
66,Polish,what,tsɔ,what:A,tso
68,Ukrainian,what,ʂtʂɔ,what:A,StSo
70,Czech,what,tsɔ,what:A,tso
78,Icelandic,what,"xʷaːð, kʰvaːð",what:A,xa8kva8
83,Swedish,what,vɑː(d),what:A,vod
87,Danish,what,va,what:A,va
91,English,what,wɒt,what:A,wot
93,Dutch,what,wɑt,what:A,wot
99,German,what,vas,what:A,vas
107,Catalan,what,"kɛ, ke",what:A,kEke
108,Portuguese,what,"kɨ, u kɨ",what:A,k3uk3
109,Spanish,what,ke,what:A,ke
115,French,what,kə,what:A,k3
121,Italian,what,ke,what:A,ke
122,Romanian,what,ʧe,what:A,Ce
9,Greek,narrow,ste̞ˈno̞s,narrow:F,stenos
56,Bulgarian,narrow,ˈtɛsɘn,narrow:I,tEs3n
58,Russian,narrow,'uzkɨj,narrow:B,uzk3y
59,Polish,narrow,ˈvɔɰ̃skʲi,narrow:B,vowski
61,Ukrainian,narrow,ˈʋuzʲkɪj,narrow:B,wuzkiy
63,Czech,narrow,ˈuːzkiː,narrow:B,uzki
72,Icelandic,narrow,mjouːr,narrow:H,myour
73,Icelandic,narrow,ˈθrøyŋɡ̊ʏr,narrow:O,8reiNgir
87,Swedish,narrow,trɔŋ,narrow:O,troN
88,Swedish,narrow,smɑ:l,narrow:E,smol
96,Danish,narrow,ˈd̥ʰʁɑŋˀ,narrow:O,dGoN
97,Danish,narrow,ˈsnɛwˀʌ,narrow:T,snEwo
98,Danish,narrow,smalˀ,narrow:E,smal
105,English,narrow,'nærəʊ,narrow:M,nEr3u
108,Dutch,narrow,ɛŋ,narrow:B,EN
109,Dutch,narrow,nɑu,narrow:L,nou
116,German,narrow,ɛŋ,narrow:B,EN
123,Catalan,narrow,ə'stɾɛt,narrow:J,3strEt
124,Portuguese,narrow,ɨʃˈtɾɐitu,narrow:J,3Straitu
127,Spanish,narrow,es'tɾeʧo,narrow:J,estreCo
133,French,narrow,etʀwa,narrow:J,etrwa
140,Italian,narrow,'stretto,narrow:J,stretto
151,Breton,narrow,eŋ-k,narrow:B,eNk
152,Breton,narrow,striːs,narrow:J,stris
13,Greek,fly,pe̞ˈto̞,fly:H,peto
47,Hindi,fly,ʊɽ.na:,fly:D,urna
59,Bulgarian,fly,lɘˈtʲɤ,fly:G,l3to
61,Russian,fly,lʲɛ'tʲɛtʲ,fly:G,lEtEt
62,Polish,fly,ˈletɕɛtɕ,fly:G,letSEtS
64,Ukrainian,fly,ɫɛˈtʲitɪ,fly:G,LEtiti
66,Czech,fly,ˈlɛcɛt,fly:G,lETEt
74,Lithuanian,fly,ˈsʲkʲɾʲɪsʲtʲɪ,fly:L,skristi
77,Icelandic,fly,ˈfljuːa,fly:A,flyua
82,Swedish,fly,ˈflỳ:ga,fly:A,fliga
86,Danish,fly,ˈfly:və,fly:A,fliv3
91,English,fly,flaɪ,fly:A,flai
93,Dutch,fly,'vliɣə(n),fly:A,vlix3n
98,German,fly,'fli:gn̩,fly:A,flign
105,Portuguese,fly,vuˈaɾ,fly:E,vuar
106,Spanish,fly,bo'laɾ,fly:E,bolar
112,French,fly,vɔle,fly:E,vole
118,Italian,fly,vo'lare,fly:E,volare
125,Breton,fly,ˈniːʒal,fly:F,niZal
14,Greek,die,pe̞ˈθe̞no̞,die:D,pe8eno
51,Hindi,die,mərna,die:A,m3rna
63,Bulgarian,die,uˈmirəm,die:A,umir3m
65,Russian,die,umʲi'ratʲ,die:A,umirat
66,Polish,die,uˈmjɛraʨ,die:A,umyEraC
68,Ukrainian,die,umɪˈratɪ,die:A,umirati
70,Czech,die,ˈumiːrat,die:A,umirat
76,Lithuanian,die,ˈmʲiɾʲtʲɪ,die:A,mirti
80,Icelandic,die,ˈd̥eiːja,die:B,deiya
81,Icelandic,die,ˈand̥ast,die:F,andast
87,Swedish,die,dø:,die:B,de
91,Danish,die,d̥øˀ,die:B,de
96,English,die,daɪ,die:B,dai
99,Dutch,die,'stɛrvə(n),die:E,stErv3n
107,German,die,'ʃtɛrbn̩,die:E,StErbn
114,Catalan,die,mu'ri,die:A,muri
115,Portuguese,die,muˈʀeɾ,die:A,murer
116,Spanish,die,mo'ɾiɾ,die:A,morir
122,French,die,muʀiʀ,die:A,murir
131,Italian,die,mo'rire,die:A,morire
132,Romanian,die,a muˈri,die:A,amuri
140,Breton,die,ˈmɛrvɛl,die:A,mErvEl
14,Greek,small,miˈkro̞s,small:K,mikros
53,Hindi,small,tʃʰoˈʈa,small:E,tSota
68,Bulgarian,small,ˈmaɫək,small:H,maL3k
70,Russian,small,'malʲɛnʲkʲij,small:H,malEnkiy
71,Polish,small,ˈmawɘ̟,small:H,maw3
73,Ukrainian,small,maˈɫɪj,small:H,maLiy
75,Czech,small,maliː,small:H,mali
81,Lithuanian,small,ˈma:ʒɐs,small:N,maZas
84,Icelandic,small,smauːr,small:K,smaur
85,Icelandic,small,ˈliːtɪd̥l,small:P,litidl
94,Swedish,small,ˈlìːtən,small:P,lit3n
95,Swedish,small,smoː,small:K,smo
100,Danish,small,ˈlilə,small:P,lil3
101,Danish,small,smɔˀ,small:K,smo
109,English,small,smɔ:l,small:H,smol
111,Dutch,small,klɛin,small:B,klEin
117,German,small,klaĭn,small:B,klain
124,Catalan,small,pə'tit,small:I,p3tit
125,Portuguese,small,pɨˈkenu,small:F,p3kenu
126,Spanish,small,pe'keɲo,small:F,pekeNo
132,French,small,pəti,small:I,p3ti
143,Italian,small,'pikkolo,small:M,pikkolo
145,Romanian,small,mik,small:K,mik
11,Greek,sand,ˈamo̞s,sand:B,amos
61,Bulgarian,sand,ˈpʲasək,sand:I,pas3k
63,Russian,sand,pʲi'sɔk,sand:I,pisok
64,Polish,sand,ˈpjasɛk,sand:I,pyasEk
66,Ukrainian,sand,piˈsɔk,sand:I,pisok
68,Czech,sand,ˈpiːsɛk,sand:I,pisEk
76,Icelandic,sand,ˈsand̥ʏr,sand:B,sandir
81,Swedish,sand,sand,sand:B,sand
85,Danish,sand,sanˀ,sand:B,san
89,English,sand,sænd,sand:B,sEnd
91,Dutch,sand,zɑnt,sand:B,zont
96,German,sand,sant,sand:B,sant
103,Portuguese,sand,ɐˈɾejɐ,sand:N,areya
104,Spanish,sand,a'ɾena,sand:N,arena
110,French,sand,sɑbl,sand:B,sobl
116,Italian,sand,'sabbja,sand:B,sabbya
117,Italian,sand,'rena,sand:G,rena
125,Breton,sand,ˈtrɛːz,sand:H,trEz
11,Greek,louse,ˈpsira,louse:I,psira
47,Hindi,louse,dʒũː,louse:K,dZu
56,Bulgarian,louse,ˈvɤʃkə,louse:B,voSk3
58,Russian,louse,vɔʂ,louse:B,voS
59,Polish,louse,vɛʂ,louse:B,vES
61,Ukrainian,louse,ˈʋɔʂa,louse:B,woSa
63,Czech,louse,vɛʃ,louse:B,vES
70,Icelandic,louse,luːs,louse:B,lus
75,Swedish,louse,lʉ:s,louse:B,l3s
79,Danish,louse,luˀs,louse:B,lus
83,English,louse,laʊs,louse:B,laus
86,Dutch,louse,lœys,louse:B,lEis
91,German,louse,laŭs,louse:B,laus
96,Catalan,louse,poʎ,louse:F,pol
97,Portuguese,louse,piˈoʎu,louse:F,piolu
98,Spanish,louse,'pjoxo,louse:F,pyoxo
104,French,louse,pu,louse:F,pu
112,Italian,louse,pi'dɔkkjo,louse:F,pidokkyo
124,Breton,louse,ˈlauɛn,louse:B,lauEn
15,Greek,seed,ˈspo̞ro̞s,seed:G,sporos
63,Bulgarian,seed,ˈsɛmɘ,seed:B,sEm3
65,Russian,seed,zʲɛrˈnɔ,seed:B,zErno
66,Polish,seed,naˈɕɔnɔ,seed:B,naSono
68,Ukrainian,seed,naˈsinʲnʲa,seed:B,nasinna
70,Czech,seed,ˈsɛmɛnɔ,seed:B,sEmEno
76,Lithuanian,seed,ˈsʲe:klɐ,seed:B,sekla
79,Icelandic,seed,sauːð,seed:B,sau8
80,Icelandic,seed,fraiː,seed:F,frai
88,Swedish,seed,sɛ:d,seed:B,sEd
89,Swedish,seed,frøː,seed:F,fre
94,Danish,seed,fʁœˀ,seed:F,fGE
95,Danish,seed,sɛˀð,seed:B,sE8
102,English,seed,si:d,seed:B,sid
104,Dutch,seed,zat,seed:B,zat
109,German,seed,za:t,seed:B,zat
115,Catalan,seed,gɾə,seed:E,gr3
116,Portuguese,seed,sɨˈmẽtɨ,seed:B,s3met3
117,Spanish,seed,se'miʎa,seed:B,semila
123,French,seed,s(ə)mɑ̃s,seed:B,s3mos
129,Italian,seed,'seme,seed:B,seme
130,Romanian,seed,səˈmɨnʦə,seed:B,s3m3nc3
12,Greek,left,ze̞rˈva,left:U,zerva
13,Greek,left,aˌriste̞ˈra,left:M,aristera
58,Bulgarian,left,lʲav,left:J,lav
60,Russian,left,'lʲɛvɨj,left:J,lEv3y
61,Polish,left,ˈlɛvɘ̟,left:J,lEv3
63,Ukrainian,left,ˈlʲivɪj,left:J,liviy
65,Czech,left,ˈlɛviː,left:J,lEvi
72,Icelandic,left,ˈvɪnstrɪ,left:K,vinstri
77,Swedish,left,vɛnstər,left:K,vEnst3r
81,Danish,left,ˈvɛnsd̥ʰʁʌ,left:K,vEnsdGo
87,Dutch,left,lɪŋks,left:B,liNks
93,German,left,lɪŋk,left:B,liNk
101,Catalan,left,əs'kɛrə,left:S,3skEr3
102,Catalan,left,si'nistɾə,left:H,sinistr3
103,Portuguese,left,ɨʃˈkeɾdɐ,left:S,3Skerda
104,Spanish,left,iθ'kjeɾða,left:S,i8kyer8a
110,French,left,goʃ,left:L,goS
116,Italian,left,si'nistro,left:H,sinistro
122,Breton,left,ˈklɛjs,left:I,klEys
125,Irish,left,clʲeː,left:I,Tle
7,Greek,freeze,paˈɣo̞no̞,freeze:K,paxono
49,Bulgarian,freeze,zəˈmrɤzvəm,freeze:C,z3mrozv3m
51,Russian,freeze,zamʲɛr'zatʲ,freeze:C,zamErzat
52,Polish,freeze,zaˈmarzatɕ,freeze:C,zamarzatS
54,Ukrainian,freeze,zamɛrˈzatɪ,freeze:C,zamErzati
56,Czech,freeze,ˈmr̩znɔut,freeze:C,mrznout
65,Icelandic,freeze,ˈfrjouːsa,freeze:B,fryousa
70,Swedish,freeze,ˈfrỳ:sa,freeze:B,frisa
75,Danish,freeze,ˈfʁy:sə,freeze:B,fGis3
79,English,freeze,fri:z,freeze:B,friz
81,Dutch,freeze,'vrizə(n),freeze:B,vriz3n
85,German,freeze,'fri:rən,freeze:B,frir3n
91,Catalan,freeze,ʒə'la,freeze:G,Z3la
92,Portuguese,freeze,ʒɨˈlaɾ,freeze:G,Z3lar
93,Spanish,freeze,e'laɾ,freeze:G,elar
99,French,freeze,ʒəle,freeze:G,Z3le
105,Italian,freeze,dʒe'lare,freeze:G,dZelare
111,Breton,freeze,ˈreːvĩ,freeze:B,revi
10,Greek,flower,luˈluði,flower:C,lulu8i
38,Bengali,flower,"pʰul, ful",flower:E,pulful
43,Hindi,flower,pʰul,flower:E,pul
56,Bulgarian,flower,ˈtsvɛtɘ,flower:F,tsvEt3
58,Russian,flower,tsvʲɛt,flower:F,tsvEt
59,Polish,flower,kfjat,flower:F,kfyat
61,Ukrainian,flower,ˈkʋitka,flower:F,kwitka
63,Czech,flower,kvjɛt,flower:F,kvyEt
71,Icelandic,flower,b̥louːm,flower:B,bloum
77,Swedish,flower,ˈblʊ̀mːa,flower:B,bluma
78,Swedish,flower,ˈblɔmstər,flower:B,blomst3r
82,Danish,flower,b̥lʌmˀsd̥ʰ,flower:B,blomsd
86,English,flower,flaʊə,flower:B,flau3
88,Dutch,flower,blum,flower:B,blum
93,German,flower,'blu:mə,flower:B,blum3
100,Catalan,flower,"flɔ, flɔ̞ɾ",flower:B,floflor
101,Portuguese,flower,floɾ,flower:B,flor
102,Spanish,flower,floɾ,flower:B,flor
108,French,flower,flœʀ,flower:B,flEr
115,Italian,flower,'fjore,flower:B,fyore
116,Romanian,flower,ˈflware,flower:B,flware
123,Breton,flower,"ˈblœ̃wɛn, ˈblœ̃niɛn",flower:B,blEwEnblEniEn
125,Irish,flower,bˠl̪ˠaː,flower:B,bla
12,Greek,fear,fo̞ˈvame̞,fear:K,fovame
63,Bulgarian,fear,ˈpɫaʃə sɛ,fear:V,pLaS3sE
64,Bulgarian,fear,strəˈxuvəm sɛ,fear:H,str3xuv3msE
65,Bulgarian,fear,buˈjɤ sɛ,fear:E,buyosE
67,Russian,fear,bɔ'jatʲsʲa,fear:E,boyatsa
68,Polish,fear,ˈbatɕ ɕɛ(ɰ̃),fear:E,batSSEw
70,Ukrainian,fear,bɔˈjatɪsʲa,fear:E,boyatisa
72,Czech,fear,baːt sɛ,fear:E,batsE
83,Icelandic,fear,ˈouʰtːast,fear:Q,outast
85,Icelandic,fear,ˈr̥aiːðast,fear:J,rai8ast
92,Swedish,fear,'fɑ:rho:ga,fear:I,forhoga
93,Swedish,fear,ˈrɛ̀ːdas,fear:J,rEdas
94,Swedish,fear,ˈfrɵ̀kta,fear:I,fr3kta
99,Danish,fear,ˈʁɑðəs,fear:J,Go83s
100,Danish,fear,ˈfʁœ̝g̥d̥ʰə,fear:I,fGEgd3
105,English,fear,fɪə,fear:B,fi3
107,Dutch,fear,'vrezə(n),fear:B,vrez3n
113,German,fear,'fʏrçtn̩,fear:I,firStn
120,Catalan,fear,"ˈtemə, ˈtemeɾ",fear:F,tem3temer
121,Portuguese,fear,tɨˈmeɾ,fear:F,t3mer
122,Spanish,fear,te'meɾ,fear:F,temer
128,French,fear,kʀɛ̃dʀ,fear:D/J,krEdr
135,Italian,fear,te'mere,fear:F,temere
142,Breton,fear,ˈkɔwd ˈãwn,fear:L,kowdawn
143,Breton,fear,ˈduːʒã,fear:G,duZa
11,Greek,smoke,kaˈpno̞s,smoke:F,kapnos
61,Bulgarian,smoke,ˈpuʃɘk,smoke:M,puS3k
63,Russian,smoke,dɨm,smoke:A,d3m
64,Polish,smoke,dɘ̟m,smoke:A,d3m
66,Ukrainian,smoke,dɪm,smoke:A,dim
68,Czech,smoke,kɔur̝̊,smoke:K,kour
69,Czech,smoke,diːm,smoke:A,dim
77,Icelandic,smoke,ˈreiːkʰʏr,smoke:B,reikir
82,Swedish,smoke,rø:k,smoke:B,rek
86,Danish,smoke,ʁʌjˀ,smoke:B,Goy
91,English,smoke,sməʊk,smoke:E,sm3uk
93,Dutch,smoke,rok,smoke:B,rok
98,German,smoke,raŭx,smoke:B,raux
104,Catalan,smoke,fum,smoke:A,fum
105,Portuguese,smoke,'fumu,smoke:A,fumu
106,Spanish,smoke,'umo,smoke:A,umo
112,French,smoke,fyme,smoke:A,fime
119,Italian,smoke,'fumo,smoke:A,fumo
15,Greek,new,ce̞ˈnurʝo̞s,new:C,TenurSos
16,Greek,new,ˈneos,new:A,neos
49,Bengali,new,nɔt̪un,new:A,notun
54,Hindi,new,n̪əja:,new:A,n3ya
67,Bulgarian,new,nɔv,new:A,nov
69,Russian,new,'nɔvɨj,new:A,nov3y
70,Polish,new,ˈnɔvɘ̟,new:A,nov3
72,Ukrainian,new,nɔˈvɪj,new:A,noviy
74,Czech,new,ˈnɔviː,new:A,novi
82,Icelandic,new,niːr,new:A,nir
87,Swedish,new,nyː,new:A,ni
91,Danish,new,nyˀ,new:A,ni
96,English,new,nju:,new:A,nyu
98,Dutch,new,niw,new:A,niw
103,German,new,nɔ‿y,new:A,noi
109,Catalan,new,nɔuw,new:A,nouw
110,Portuguese,new,'novu,new:A,novu
111,Spanish,new,'nweβo,new:A,nwebo
117,French,new,nuvo,new:A,nuvo
123,Italian,new,'nwɔvo,new:A,nwovo
133,Breton,new,"ˈneːves, ˈneːvǝ",new:A,nevesnev3
136,Irish,new,uːɾˠ,new:F,ur
137,Irish,new,nˠuːə,new:A,nu3
9,Greek,thick,xo̞ˈ(n)dro̞s,thick:N,xondros
54,Bulgarian,thick,dɘˈbɛɫ,thick:E,d3bEL
56,Russian,thick,'tɔɫstɨj,thick:F,toLst3y
57,Polish,thick,ˈgrubɘ̟,thick:M,grub3
59,Ukrainian,thick,tɔʋˈstɪj,thick:F,towstiy
61,Czech,thick,ˈtlustiː,thick:F,tlusti
71,Icelandic,thick,ˈθɪʰkːʏr,thick:A,8ikir
72,Icelandic,thick,ˈd̥ɪːɣʏr,thick:T,dixir
73,Icelandic,thick,ˈɡ̊ɪld̥ʏr,thick:U,gildir
80,Swedish,thick,ɕɔkː,thick:A,Sok
85,Danish,thick,d̥ʰyg̥ʰ,thick:A,dig
90,English,thick,θɪk,thick:A,8ik
92,Dutch,thick,dɪk,thick:A,dik
